dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,name
0.05450289,0.018183731,0.021407887,0.013991673,0.003552948,0.001818391,0.09270069,0.044203069,0.003328553,0.01262977,0.044705767,0.099752896,0.012218775,0.00278783,0.012628048,0.007016676,0.016513919,0.006479829,0.009609729,0.012865056,0.023578165,0.018130595,0.008093373,0.026457915,0.013165095,0.113016635,0.021207375,0.005281302,0.012258103,0.021850029,0.026513344,0.009011295,0.007982391,0.003750121,0.008795601,0.024580088,0.044433545,0.02422864,0.013198211,0.02586743,0.046088781,0.011613823,Ahmed
0.052767321,0.018611871,0.021643506,0.014164569,0.003572852,0.00179384,0.0920498,0.046143372,0.003326368,0.012811203,0.044583235,0.100383602,0.011990246,0.002819163,0.012711824,0.006889287,0.017338887,0.006469171,0.009388104,0.013120061,0.023203464,0.018226691,0.00831667,0.025886076,0.01378482,0.115314506,0.020760193,0.005220742,0.011803427,0.021949373,0.026168274,0.009034376,0.00782825,0.003599509,0.008333575,0.02432348,0.044350017,0.022863438,0.012889479,0.025356678,0.046442293,0.011766369,Ahmed
0.052980132,0.018498942,0.021948518,0.014199356,0.003660017,0.001794066,0.091077395,0.044241238,0.003363033,0.012598579,0.045090169,0.100869454,0.012119167,0.002839583,0.012556475,0.007024804,0.016725214,0.006670913,0.009338058,0.013032751,0.023274589,0.017990649,0.008141209,0.026043894,0.013442134,0.113852695,0.021527018,0.005172417,0.012371207,0.022275671,0.026005542,0.009159729,0.007819203,0.003710503,0.008559012,0.024891326,0.04406042,0.02404411,0.013089813,0.026023563,0.046262611,0.011654831,Ahmed
0.053935468,0.01780789,0.021683449,0.014359171,0.00357415,0.001830281,0.091599673,0.045937743,0.003321548,0.012683138,0.04511654,0.098820925,0.012080126,0.002791134,0.012646635,0.006939717,0.016880734,0.006669575,0.009751402,0.012754683,0.023603225,0.018686015,0.008252751,0.025848225,0.013497047,0.11180675,0.021776464,0.005179063,0.012183334,0.022144699,0.026749734,0.008788547,0.007985844,0.003671798,0.008665445,0.024499828,0.043921195,0.024916973,0.013112057,0.026092974,0.046013575,0.011420533,Ahmed
0.053460836,0.018040637,0.021575265,0.014166263,0.003569095,0.001828068,0.09336707,0.044973459,0.003330592,0.012768491,0.044286892,0.099524766,0.012202393,0.002777408,0.012695517,0.006962166,0.016804878,0.006500521,0.009647951,0.013026842,0.023504296,0.018185217,0.008228499,0.02635389,0.01352746,0.1131,0.021488134,0.005198523,0.012201576,0.021942243,0.026597437,0.008907702,0.007913303,0.003693719,0.008695988,0.024490166,0.043863568,0.02412275,0.013141916,0.025781529,0.046039894,0.011513077,Ahmed
0.053903259,0.017751914,0.021868508,0.014297063,0.003617057,0.001834253,0.093393408,0.044846721,0.003313682,0.012865028,0.044068448,0.096500404,0.01237878,0.002788187,0.012744844,0.007176643,0.016282018,0.006518464,0.009910006,0.012731147,0.023821432,0.018255135,0.008212106,0.026182484,0.013555005,0.110979237,0.022579601,0.005184624,0.012386382,0.021687046,0.027045317,0.008709327,0.008027406,0.00377512,0.008980947,0.025026936,0.04443175,0.025450584,0.013164771,0.026341397,0.045883533,0.011530063,Ahmed
0.053871103,0.018127255,0.021742251,0.014112185,0.003586902,0.001806908,0.09191481,0.044652961,0.003313863,0.012837725,0.044601921,0.099574991,0.012080897,0.002817654,0.01269618,0.007014436,0.016672658,0.006511295,0.009505317,0.012987138,0.023721471,0.018254509,0.008187136,0.026070459,0.013411194,0.113711923,0.021626243,0.005189803,0.012266831,0.021801017,0.02653156,0.00891115,0.007884577,0.003712395,0.008659268,0.024675848,0.044326216,0.024256762,0.013179163,0.025944829,0.045747165,0.011502023,Ahmed
0.053757124,0.018431989,0.021753605,0.013999028,0.003642626,0.00181177,0.091924436,0.043913532,0.003304417,0.012791303,0.044412795,0.101329595,0.012132049,0.002837768,0.012651248,0.007095982,0.01670396,0.006558996,0.009353191,0.012662104,0.023672054,0.018121418,0.008223515,0.025923315,0.013447974,0.112517327,0.021611746,0.005179206,0.012189354,0.02192116,0.026237929,0.009003695,0.007999442,0.003704366,0.008683002,0.024955988,0.044846468,0.02430352,0.013267779,0.025619861,0.045789316,0.011714045,Ahmed
0.054377813,0.017837672,0.021314636,0.013986915,0.003519503,0.001828887,0.091807887,0.045203686,0.003345892,0.01245148,0.044265237,0.101423107,0.012212469,0.002755994,0.01271715,0.006911654,0.017050194,0.006451699,0.009754347,0.013188423,0.023321427,0.018284282,0.008101931,0.026609456,0.013447875,0.113892138,0.021204637,0.00522551,0.012051894,0.021725759,0.026590809,0.009083001,0.007770793,0.003684338,0.008488677,0.024207996,0.043481778,0.023857366,0.013071621,0.026264058,0.045772765,0.01145725,Ahmed
0.054755706,0.017502833,0.021218123,0.014192106,0.003445222,0.00182788,0.094483569,0.04628586,0.003271087,0.012615458,0.044318806,0.097981282,0.012132036,0.002708874,0.012436151,0.006928166,0.016713554,0.006490526,0.009846793,0.012544034,0.024290515,0.01876661,0.008401744,0.026145097,0.0134846,0.109396882,0.021635819,0.005253467,0.012691869,0.021861453,0.026475525,0.008575237,0.00811544,0.003678223,0.008939398,0.024216872,0.044689506,0.024854297,0.013268883,0.025730908,0.046463117,0.011366506,Ahmed
